disaster_type,rainfall,water_level,wind_speed,atmospheric_pressure,magnitude,depth,seismic_intensity,population_density,previous_disasters,risk
Flood,154.0,7.18,15.0,,,,,312,7,Medium
Flood,220.0,8.6,140.0,,,,,341,3,High
Flood,287.0,7.75,10.0,,,,,592,6,High
Flood,52.0,1.27,67.0,,,,,1336,6,Medium
Flood,67.0,8.8,133.0,,,,,437,5,Medium
Flood,81.0,4.19,24.0,,,,,272,0,Low
Flood,235.0,4.57,73.0,,,,,771,3,Medium
Flood,118.0,1.94,34.0,,,,,263,3,Low
Flood,191.0,7.64,33.0,,,,,564,0,Medium
Flood,233.0,2.64,21.0,,,,,1094,7,Medium
Flood,54.0,6.08,27.0,,,,,596,6,Medium
Flood,246.0,8.57,24.0,,,,,799,6,High
Flood,120.0,1.8,36.0,,,,,494,7,Medium
Flood,150.0,5.82,81.0,,,,,802,6,Medium
Flood,276.0,3.1,69.0,,,,,407,2,Medium
Flood,24.0,4.09,102.0,,,,,282,3,Low
Flood,237.0,5.27,62.0,,,,,728,1,Medium
Flood,274.0,4.2,17.0,,,,,609,0,Medium
Flood,226.0,6.84,88.0,,,,,645,6,High
Flood,34.0,5.32,36.0,,,,,723,5,Medium
Flood,61.0,6.26,59.0,,,,,693,6,Medium
Flood,198.0,7.63,140.0,,,,,843,6,High
Flood,82.0,6.02,102.0,,,,,1350,4,Medium
Flood,250.0,6.28,33.0,,,,,653,2,Medium
Flood,260.0,6.08,69.0,,,,,120,0,Medium
Flood,71.0,4.41,131.0,,,,,653,4,Medium
Flood,115.0,4.04,140.0,,,,,496,4,Medium
Flood,241.0,9.1,55.0,,,,,724,5,High
Flood,250.0,6.47,24.0,,,,,204,3,Medium
Flood,256.0,3.2,26.0,,,,,291,5,Medium
Flood,162.0,5.48,135.0,,,,,116,3,Medium
Flood,190.0,3.97,93.0,,,,,1243,3,Medium
Flood,48.0,9.4,18.0,,,,,492,0,Medium
Flood,55.0,1.07,72.0,,,,,524,6,Low
Flood,32.0,3.03,126.0,,,,,228,0,Low
Flood,179.0,4.29,139.0,,,,,1253,2,High
Flood,206.0,5.39,97.0,,,,,671,3,Medium
Flood,262.0,8.66,81.0,,,,,128,4,High
Flood,105.0,1.79,148.0,,,,,1220,6,Medium
Flood,85.0,8.25,73.0,,,,,1133,1,Medium
Flood,189.0,1.5,81.0,,,,,341,2,Medium
Flood,64.0,8.58,30.0,,,,,331,0,Medium
Flood,81.0,1.46,27.0,,,,,888,5,Low
Flood,153.0,1.16,73.0,,,,,1407,2,Medium
Flood,47.0,7.27,91.0,,,,,814,2,Medium
Flood,127.0,9.98,119.0,,,,,858,6,High
Flood,63.0,9.07,104.0,,,,,901,2,Medium
Flood,147.0,6.18,41.0,,,,,875,2,Medium
Flood,250.0,9.26,20.0,,,,,825,1,High
Flood,209.0,1.05,54.0,,,,,299,7,Medium
Flood,244.0,9.78,42.0,,,,,1044,5,High
Flood,140.0,5.42,111.0,,,,,178,5,Medium
Flood,135.0,7.51,145.0,,,,,1055,5,High
Flood,252.0,8.39,20.0,,,,,955,3,High
Flood,278.0,7.47,97.0,,,,,1296,4,High
Flood,217.0,5.82,50.0,,,,,566,7,Medium
Flood,156.0,5.29,85.0,,,,,680,5,Medium
Flood,184.0,8.55,130.0,,,,,1039,2,High
Flood,244.0,2.85,55.0,,,,,548,2,Medium
Flood,253.0,9.71,89.0,,,,,186,5,High
Flood,191.0,7.4,63.0,,,,,200,6,Medium
Flood,171.0,2.8,95.0,,,,,1131,5,Medium
Flood,179.0,7.63,101.0,,,,,944,2,High
Flood,115.0,5.77,106.0,,,,,1323,3,Medium
Flood,252.0,7.37,11.0,,,,,186,0,Medium
Flood,199.0,7.91,42.0,,,,,142,0,Medium
Flood,132.0,1.79,86.0,,,,,507,7,Medium
Flood,71.0,5.55,125.0,,,,,763,7,Medium
Flood,287.0,9.39,112.0,,,,,1140,5,High
Flood,132.0,3.89,112.0,,,,,247,1,Medium
Flood,120.0,6.34,99.0,,,,,376,5,Medium
Flood,132.0,4.32,131.0,,,,,331,6,Medium
Flood,100.0,5.09,115.0,,,,,465,5,Medium
Flood,206.0,5.94,128.0,,,,,1351,7,High
Flood,132.0,5.94,58.0,,,,,535,0,Medium
Flood,21.0,2.82,113.0,,,,,498,2,Low
Flood,149.0,7.16,70.0,,,,,1334,5,High
Flood,239.0,1.79,132.0,,,,,598,2,Medium
Flood,73.0,2.25,143.0,,,,,639,2,Medium
Flood,243.0,1.02,18.0,,,,,662,1,Medium
Flood,244.0,2.05,15.0,,,,,541,2,Medium
Flood,145.0,5.26,82.0,,,,,1384,0,Medium
Flood,149.0,6.45,112.0,,,,,872,3,Medium
Flood,72.0,8.15,50.0,,,,,449,3,Medium
Flood,191.0,1.96,123.0,,,,,1475,4,High
Flood,237.0,8.66,17.0,,,,,619,6,High
Flood,179.0,7.71,81.0,,,,,1443,5,High
Flood,217.0,4.68,101.0,,,,,237,6,Medium
Flood,266.0,9.4,71.0,,,,,1091,0,High
Flood,222.0,9.92,93.0,,,,,467,2,High
Flood,203.0,2.85,71.0,,,,,1343,3,Medium
Flood,142.0,4.41,120.0,,,,,1460,6,High
Flood,274.0,9.34,136.0,,,,,1346,0,High
Flood,299.0,7.49,16.0,,,,,459,3,Medium
Flood,117.0,1.43,93.0,,,,,1020,2,Medium
Flood,217.0,8.03,141.0,,,,,428,6,High
Flood,259.0,8.45,143.0,,,,,1061,3,High
Flood,163.0,7.75,67.0,,,,,562,5,Medium
Flood,116.0,8.2,31.0,,,,,1045,7,Medium
Flood,220.0,8.43,136.0,,,,,1062,5,High
Flood,143.0,2.68,12.0,,,,,935,4,Medium
Flood,206.0,3.12,136.0,,,,,268,4,Medium
Flood,278.0,6.7,50.0,,,,,316,3,Medium
Flood,167.0,9.17,115.0,,,,,477,7,High
Flood,271.0,3.85,23.0,,,,,218,0,Medium
Flood,166.0,6.29,21.0,,,,,289,5,Medium
Flood,167.0,7.15,96.0,,,,,866,0,Medium
Flood,218.0,5.07,21.0,,,,,469,7,Medium
Flood,147.0,7.42,150.0,,,,,248,0,Medium
Flood,58.0,9.1,34.0,,,,,751,7,Medium
Flood,148.0,6.62,54.0,,,,,869,3,Medium
Flood,286.0,5.86,131.0,,,,,473,0,High
Flood,170.0,4.95,64.0,,,,,880,5,Medium
Flood,118.0,6.2,109.0,,,,,259,2,Medium
Flood,282.0,4.2,145.0,,,,,450,4,High
Flood,271.0,4.52,128.0,,,,,1411,2,High
Flood,163.0,5.79,62.0,,,,,1411,0,Medium
Flood,131.0,1.6,41.0,,,,,991,2,Medium
Flood,79.0,3.06,60.0,,,,,1349,5,Medium
Flood,21.0,5.89,53.0,,,,,622,5,Medium
Flood,273.0,4.88,91.0,,,,,621,0,Medium
Flood,159.0,4.0,46.0,,,,,882,3,Medium
Flood,56.0,7.57,105.0,,,,,372,2,Medium
Flood,179.0,7.24,65.0,,,,,1035,3,Medium
Flood,28.0,2.5,114.0,,,,,282,3,Low
Flood,252.0,8.91,68.0,,,,,587,7,High
Flood,118.0,5.46,140.0,,,,,945,1,Medium
Flood,166.0,7.67,44.0,,,,,223,0,Medium
Flood,227.0,6.16,102.0,,,,,1084,4,High
Flood,150.0,9.98,106.0,,,,,889,5,High
Flood,171.0,7.77,144.0,,,,,513,5,High
Flood,73.0,7.36,85.0,,,,,1295,0,Medium
Flood,139.0,8.01,58.0,,,,,1411,7,High
Flood,180.0,2.29,103.0,,,,,785,6,Medium
Flood,135.0,2.84,33.0,,,,,212,6,Medium
Flood,94.0,7.43,46.0,,,,,987,6,Medium
Flood,132.0,5.45,13.0,,,,,221,7,Medium
Flood,123.0,7.79,117.0,,,,,1345,4,High
Flood,273.0,1.93,135.0,,,,,138,5,Medium
Flood,246.0,5.83,29.0,,,,,596,0,Medium
Flood,131.0,4.41,59.0,,,,,879,7,Medium
Flood,118.0,5.11,105.0,,,,,1356,5,Medium
Flood,172.0,6.44,114.0,,,,,1042,3,High
Flood,213.0,5.52,126.0,,,,,248,2,Medium
Flood,182.0,5.86,107.0,,,,,1121,2,High
Flood,227.0,5.38,75.0,,,,,760,7,High
Flood,188.0,4.68,88.0,,,,,401,5,Medium
Flood,180.0,7.95,15.0,,,,,1483,1,Medium
Flood,87.0,1.11,48.0,,,,,337,4,Low
Flood,296.0,6.39,124.0,,,,,746,6,High
Flood,154.0,6.09,134.0,,,,,762,4,High
Flood,214.0,7.45,21.0,,,,,335,4,Medium
Flood,147.0,6.39,140.0,,,,,302,7,High
Flood,52.0,8.44,27.0,,,,,355,3,Medium
Flood,195.0,9.63,49.0,,,,,697,4,High
Flood,41.0,4.08,30.0,,,,,761,2,Low
Flood,257.0,3.05,108.0,,,,,334,3,Medium
Flood,177.0,4.81,35.0,,,,,1468,0,Medium
Flood,57.0,3.59,17.0,,,,,633,4,Low
Flood,249.0,6.53,109.0,,,,,959,4,High
Flood,70.0,9.21,96.0,,,,,869,0,Medium
Flood,283.0,2.25,51.0,,,,,640,4,Medium
Flood,46.0,1.91,23.0,,,,,312,0,Low
Flood,245.0,3.3,87.0,,,,,562,3,Medium
Flood,296.0,7.53,11.0,,,,,535,2,Medium
Flood,116.0,6.34,128.0,,,,,382,0,Medium
Flood,166.0,1.92,46.0,,,,,187,1,Low
Flood,23.0,9.27,78.0,,,,,1167,7,Medium
Flood,54.0,8.11,50.0,,,,,560,7,Medium
Flood,211.0,1.21,71.0,,,,,377,0,Medium
Flood,68.0,6.86,69.0,,,,,520,7,Medium
Flood,36.0,7.94,134.0,,,,,1476,4,High
Flood,191.0,4.37,120.0,,,,,795,6,High
Flood,239.0,1.62,23.0,,,,,614,6,Medium
Flood,177.0,1.7,93.0,,,,,802,7,Medium
Flood,65.0,1.94,139.0,,,,,118,3,Medium
Flood,25.0,8.56,79.0,,,,,122,5,Medium
Flood,118.0,9.2,132.0,,,,,512,3,High
Flood,252.0,2.11,98.0,,,,,1153,5,High
Flood,56.0,3.12,37.0,,,,,207,6,Low
Flood,299.0,2.49,75.0,,,,,1490,6,High
Flood,200.0,2.68,14.0,,,,,1404,0,Medium
Flood,114.0,8.54,54.0,,,,,1251,2,Medium
Flood,118.0,3.99,56.0,,,,,1352,1,Medium
Flood,207.0,3.8,40.0,,,,,1234,3,Medium
Flood,135.0,3.05,148.0,,,,,235,4,Medium
Flood,210.0,6.47,19.0,,,,,461,5,Medium
Flood,272.0,4.41,127.0,,,,,1309,7,High
Flood,180.0,7.7,23.0,,,,,228,4,Medium
Flood,275.0,2.85,89.0,,,,,1384,2,High
Flood,147.0,8.09,102.0,,,,,614,5,High
Flood,37.0,6.43,19.0,,,,,548,3,Low
Flood,300.0,2.03,85.0,,,,,1227,0,Medium
Flood,242.0,4.73,103.0,,,,,1347,4,High
Flood,73.0,8.77,114.0,,,,,973,2,Medium
Flood,77.0,9.31,10.0,,,,,572,3,Medium
Flood,193.0,5.19,142.0,,,,,1133,6,High
Flood,299.0,5.33,29.0,,,,,401,6,Medium
Flood,133.0,9.27,17.0,,,,,330,3,Medium
Flood,170.0,6.28,10.0,,,,,1022,3,Medium
Flood,146.0,1.3,66.0,,,,,1189,3,Medium
Flood,174.0,9.21,73.0,,,,,1036,5,High
Flood,292.0,3.23,127.0,,,,,211,3,High
Flood,123.0,6.2,37.0,,,,,1136,4,Medium
Flood,265.0,2.49,130.0,,,,,599,2,Medium
Flood,195.0,1.3,116.0,,,,,1031,5,Medium
Flood,58.0,3.8,58.0,,,,,697,3,Low
Flood,189.0,8.02,129.0,,,,,333,1,High
Flood,266.0,3.5,53.0,,,,,701,7,Medium
Flood,45.0,2.98,65.0,,,,,413,1,Low
Flood,32.0,2.91,120.0,,,,,665,2,Medium
Flood,55.0,5.64,143.0,,,,,1135,6,Medium
Flood,192.0,9.78,117.0,,,,,308,0,High
Flood,39.0,5.13,123.0,,,,,1137,0,Medium
Flood,283.0,6.02,87.0,,,,,1500,7,High
Flood,161.0,8.75,139.0,,,,,1143,6,High
Flood,162.0,5.82,46.0,,,,,686,5,Medium
Flood,111.0,2.66,29.0,,,,,1114,5,Medium
Flood,234.0,3.7,35.0,,,,,1193,5,Medium
Flood,70.0,3.79,38.0,,,,,1334,0,Low
Flood,172.0,4.58,10.0,,,,,1224,1,Medium
Flood,205.0,4.84,128.0,,,,,797,0,Medium
Flood,82.0,8.2,44.0,,,,,231,4,Medium
Flood,209.0,4.14,68.0,,,,,1255,3,Medium
Flood,144.0,5.21,78.0,,,,,1143,5,Medium
Flood,169.0,6.62,21.0,,,,,635,1,Medium
Flood,77.0,4.4,29.0,,,,,1113,2,Medium
Flood,199.0,8.53,52.0,,,,,326,7,High
Flood,189.0,6.29,135.0,,,,,1277,2,High
Flood,290.0,3.65,59.0,,,,,921,3,Medium
Flood,73.0,7.43,38.0,,,,,970,1,Medium
Flood,120.0,5.75,48.0,,,,,504,0,Medium
Flood,283.0,5.81,47.0,,,,,301,0,Medium
Flood,72.0,5.33,93.0,,,,,137,4,Medium
Flood,79.0,5.47,137.0,,,,,1041,4,Medium
Flood,127.0,7.89,135.0,,,,,287,0,Medium
Flood,24.0,1.93,54.0,,,,,1180,2,Low
Flood,122.0,4.01,61.0,,,,,1040,7,Medium
Flood,215.0,1.68,89.0,,,,,1143,5,Medium
Flood,281.0,7.78,133.0,,,,,372,2,High
Flood,66.0,3.45,128.0,,,,,1242,7,Medium
Flood,163.0,9.08,17.0,,,,,682,4,Medium
Flood,288.0,5.74,94.0,,,,,615,3,High
Flood,143.0,8.21,138.0,,,,,1344,7,High
Flood,125.0,9.81,17.0,,,,,625,0,Medium
Flood,177.0,8.56,105.0,,,,,435,4,High
Flood,166.0,8.8,111.0,,,,,797,4,High
Flood,164.0,4.67,14.0,,,,,1178,5,Medium
Flood,139.0,5.97,95.0,,,,,599,0,Medium
Flood,294.0,3.28,43.0,,,,,999,5,High
Flood,111.0,2.77,64.0,,,,,865,0,Medium
Flood,77.0,5.55,128.0,,,,,635,5,Medium
Flood,248.0,6.36,123.0,,,,,261,7,High
Flood,136.0,4.05,35.0,,,,,693,2,Medium
Flood,298.0,6.12,145.0,,,,,258,3,High
Flood,146.0,8.99,56.0,,,,,1311,3,High
Flood,148.0,6.01,122.0,,,,,159,0,Medium
Flood,77.0,7.49,85.0,,,,,1014,1,Medium
Flood,141.0,8.25,81.0,,,,,1442,6,High
Flood,20.0,9.9,98.0,,,,,310,4,Medium
Flood,258.0,6.43,55.0,,,,,505,4,Medium
Flood,115.0,8.26,42.0,,,,,763,0,Medium
Flood,145.0,9.66,10.0,,,,,1232,7,High
Flood,137.0,9.5,40.0,,,,,1199,5,High
Flood,67.0,2.27,62.0,,,,,641,1,Low
Flood,108.0,4.66,57.0,,,,,1437,2,Medium
Flood,256.0,3.92,78.0,,,,,1097,5,High
Flood,291.0,1.78,114.0,,,,,1240,5,High
Flood,208.0,6.7,99.0,,,,,1026,0,High
Flood,211.0,7.62,72.0,,,,,967,0,Medium
Flood,88.0,8.63,82.0,,,,,118,7,Medium
Flood,297.0,2.1,98.0,,,,,531,4,Medium
Flood,266.0,8.89,22.0,,,,,839,0,High
Flood,95.0,6.79,82.0,,,,,1473,0,Medium
Flood,173.0,7.34,86.0,,,,,282,0,Medium
Flood,163.0,9.2,77.0,,,,,212,7,High
Flood,105.0,6.62,107.0,,,,,1306,4,High
Flood,204.0,4.02,134.0,,,,,580,2,Medium
Flood,239.0,8.43,111.0,,,,,1269,2,High
Flood,88.0,4.27,141.0,,,,,930,6,Medium
Flood,66.0,1.31,111.0,,,,,1236,6,Medium
Flood,113.0,8.48,28.0,,,,,862,0,Medium
Flood,257.0,4.11,91.0,,,,,575,6,High
Flood,223.0,7.96,150.0,,,,,862,4,High
Flood,237.0,4.26,32.0,,,,,1426,7,High
Flood,58.0,8.75,92.0,,,,,1070,2,Medium
Flood,119.0,2.98,118.0,,,,,1119,5,Medium
Flood,273.0,9.77,84.0,,,,,1241,2,High
Flood,241.0,8.02,138.0,,,,,260,2,High
Flood,42.0,2.03,97.0,,,,,500,4,Low
Flood,269.0,6.09,63.0,,,,,297,6,High
Flood,29.0,9.87,98.0,,,,,1383,5,High
Flood,265.0,5.24,74.0,,,,,759,4,High
Flood,119.0,2.64,85.0,,,,,1170,0,Medium
Flood,199.0,5.36,69.0,,,,,498,7,Medium
Flood,242.0,5.61,102.0,,,,,177,3,Medium
Flood,269.0,7.68,58.0,,,,,223,2,Medium
Flood,166.0,7.29,44.0,,,,,174,3,Medium
Flood,115.0,4.62,111.0,,,,,236,7,Medium
Flood,276.0,2.96,20.0,,,,,701,7,Medium
Flood,23.0,6.81,108.0,,,,,936,4,Medium
Flood,35.0,4.8,119.0,,,,,599,4,Medium
Flood,299.0,2.19,83.0,,,,,237,4,Medium
Flood,266.0,9.11,18.0,,,,,149,3,Medium
Flood,277.0,7.22,12.0,,,,,1072,4,High
Flood,179.0,7.15,94.0,,,,,353,7,High
Flood,171.0,8.4,35.0,,,,,809,0,Medium
Flood,197.0,5.77,81.0,,,,,662,4,Medium
Flood,182.0,8.34,57.0,,,,,856,1,Medium
Flood,52.0,5.48,126.0,,,,,646,6,Medium
Flood,198.0,1.6,21.0,,,,,1425,3,Medium
Flood,120.0,4.65,142.0,,,,,1021,1,Medium
Flood,287.0,5.48,57.0,,,,,680,4,High
Flood,84.0,7.48,46.0,,,,,1472,7,Medium
Flood,187.0,1.96,53.0,,,,,148,0,Low
Flood,62.0,2.26,24.0,,,,,1016,2,Low
Flood,63.0,3.37,52.0,,,,,1197,5,Medium
Flood,31.0,3.4,96.0,,,,,803,6,Medium
Flood,114.0,7.59,79.0,,,,,360,5,Medium
Flood,272.0,3.26,55.0,,,,,455,4,Medium
Flood,261.0,6.7,117.0,,,,,1383,6,High
Flood,54.0,5.45,132.0,,,,,737,6,Medium
Flood,234.0,6.16,30.0,,,,,842,0,Medium
Flood,109.0,8.54,116.0,,,,,1418,6,High
Flood,283.0,4.64,89.0,,,,,1109,3,High
Flood,112.0,7.94,56.0,,,,,1030,1,Medium
Flood,109.0,4.8,126.0,,,,,740,1,Medium
Flood,134.0,4.18,133.0,,,,,891,1,Medium
Flood,124.0,9.63,34.0,,,,,1436,3,Medium
Flood,215.0,2.66,45.0,,,,,711,5,Medium
Flood,133.0,1.81,60.0,,,,,908,0,Low
Flood,94.0,7.94,24.0,,,,,1305,6,Medium
Flood,236.0,1.61,77.0,,,,,785,3,Medium
Flood,296.0,8.53,30.0,,,,,1487,1,High
Flood,268.0,4.93,150.0,,,,,287,4,High
Flood,183.0,9.24,28.0,,,,,1084,2,Medium
Flood,211.0,7.49,43.0,,,,,647,6,High
Flood,246.0,6.49,87.0,,,,,824,3,High
Flood,196.0,9.54,134.0,,,,,1025,7,High
Flood,118.0,4.57,126.0,,,,,975,3,Medium
Flood,55.0,9.59,61.0,,,,,717,0,Medium
Flood,115.0,2.22,36.0,,,,,513,0,Low
Flood,171.0,5.35,44.0,,,,,1465,3,Medium
Flood,170.0,3.43,145.0,,,,,1343,1,Medium
Flood,209.0,5.86,115.0,,,,,1002,2,High
Flood,243.0,2.46,11.0,,,,,262,6,Medium
Flood,56.0,8.57,86.0,,,,,1343,0,Medium
Flood,287.0,8.62,141.0,,,,,369,6,High
Flood,202.0,9.6,99.0,,,,,731,1,High
Flood,32.0,2.39,98.0,,,,,1005,6,Medium
Flood,298.0,6.61,103.0,,,,,1305,4,High
Flood,236.0,5.27,16.0,,,,,304,0,Medium
Flood,292.0,4.1,104.0,,,,,681,1,High
Flood,81.0,4.16,117.0,,,,,940,1,Medium
Flood,103.0,4.72,83.0,,,,,1351,2,Medium
Flood,236.0,7.34,48.0,,,,,695,2,Medium
Flood,206.0,6.38,150.0,,,,,349,4,High
Flood,38.0,5.14,80.0,,,,,974,1,Medium
Flood,196.0,1.68,65.0,,,,,295,5,Medium
Flood,119.0,1.7,51.0,,,,,789,1,Low
Flood,252.0,1.02,45.0,,,,,1193,2,Medium
Flood,95.0,9.71,93.0,,,,,738,5,High
Flood,284.0,1.05,127.0,,,,,771,0,Medium
Flood,225.0,1.93,16.0,,,,,1326,0,Medium
Flood,242.0,3.83,63.0,,,,,1271,6,High
Flood,71.0,8.27,138.0,,,,,1043,3,High
Flood,163.0,9.66,129.0,,,,,298,2,High
Flood,88.0,8.11,115.0,,,,,591,3,Medium
Flood,118.0,7.22,56.0,,,,,995,5,Medium
Flood,44.0,5.69,132.0,,,,,241,2,Medium
Flood,72.0,1.78,150.0,,,,,1436,4,Medium
Flood,170.0,9.62,128.0,,,,,264,1,High
Flood,163.0,7.83,127.0,,,,,413,4,High
Flood,76.0,6.75,30.0,,,,,120,5,Medium
Flood,58.0,7.83,146.0,,,,,1205,2,Medium
Flood,128.0,7.52,35.0,,,,,1254,7,Medium
Flood,200.0,6.74,18.0,,,,,1083,5,Medium
Flood,61.0,9.83,24.0,,,,,404,7,Medium
Flood,205.0,9.13,19.0,,,,,470,1,Medium
Flood,242.0,6.82,131.0,,,,,952,0,High
Flood,141.0,7.24,130.0,,,,,483,0,Medium
Flood,152.0,1.46,134.0,,,,,544,5,Medium
Flood,182.0,7.03,81.0,,,,,524,3,Medium
Flood,234.0,1.4,58.0,,,,,260,2,Medium
Flood,240.0,6.29,100.0,,,,,1301,2,High
Flood,254.0,9.99,46.0,,,,,728,0,High
Flood,165.0,6.0,77.0,,,,,994,6,High
Flood,258.0,5.26,59.0,,,,,589,4,Medium
Flood,95.0,3.82,28.0,,,,,1116,6,Medium
Flood,28.0,2.08,109.0,,,,,426,1,Low
Flood,93.0,7.58,69.0,,,,,697,4,Medium
Flood,272.0,2.73,98.0,,,,,1114,4,High
Flood,249.0,2.04,78.0,,,,,388,5,Medium
Flood,26.0,4.8,58.0,,,,,692,0,Low
Flood,193.0,8.16,117.0,,,,,672,6,High
Flood,160.0,7.71,128.0,,,,,1477,6,High
Flood,187.0,1.49,46.0,,,,,127,0,Low
Flood,189.0,5.1,20.0,,,,,1053,6,Medium
Flood,141.0,5.7,147.0,,,,,142,7,Medium
Flood,213.0,6.8,87.0,,,,,522,0,Medium
Flood,24.0,6.85,86.0,,,,,276,5,Medium
Flood,48.0,4.28,11.0,,,,,628,3,Low
Flood,184.0,6.05,73.0,,,,,1065,4,Medium
Flood,155.0,5.33,44.0,,,,,297,5,Medium
Flood,164.0,8.96,16.0,,,,,709,2,Medium
Flood,236.0,5.77,94.0,,,,,941,1,High
Flood,151.0,4.97,76.0,,,,,952,3,Medium
Flood,89.0,4.64,51.0,,,,,121,2,Low
Flood,271.0,6.15,127.0,,,,,1235,4,High
Flood,294.0,8.24,134.0,,,,,1180,6,High
Flood,201.0,5.85,33.0,,,,,1189,0,Medium
Flood,186.0,6.95,55.0,,,,,941,4,Medium
Flood,110.0,7.64,28.0,,,,,197,5,Medium
Flood,221.0,5.68,77.0,,,,,1267,1,High
Flood,38.0,4.84,111.0,,,,,534,5,Medium
Flood,58.0,8.89,51.0,,,,,736,3,Medium
Flood,145.0,4.76,41.0,,,,,1209,3,Medium
